Date;Close;High;Low;Open;Log_Returns
7/08/2026;2944.15;2953.05;2909.29;2942.99;-0.01123028580519604
7/07/2026;3014.41;3049.45;2974.34;3013.98;0.023583972148546833
7/06/2026;3051.78;3075.91;2917.53;3053.37;0.012320904140448908
7/02/2026;2977.78;2991.76;2898.54;2906.09;-0.024546970495649703
7/01/2026;2819.08;2871.22;2763.88;2818.69;-0.054767465861915714
06/30/2026;2751.76;2785.33;2737.52;2751.83;-0.024169883621234844
06/29/2026;2819.8;2855.75;2770.44;2819.68;0.024425253483304286
06/26/2026;2807.44;2838.28;2747.86;2794.97;-0.004392924373835774
06/25/2026;2794.87;2871.19;2718.89;2794.97;-0.004487442177831738
06/24/2026;2853.36;2911.21;2764.88;2854.95;0.020711653338805775
06/23/2026;2944.45;2944.45;2902.91;2943.2;0.03142479521036795
06/22/2026;2998.36;3085.4;2997.29;2996.84;0.018143430078112414
06/18/2026;2965.59;3036.34;2928.96;2965.24;-0.01098947167496307
06/17/2026;3046.05;3046.05;3044.98;3044.98;0.026769668458919746
06/16/2026;3100.92;3100.98;3100.92;3100.98;0.017853172347199783
06/15/2026;3125.43;3125.43;3125.08;3125.08;0.007873032066454263
6/12/2026;2971.27;3090.55;3061.97;3082.86;-0.05058240287899225
6/11/2026;2977.21;2977.92;2977.14;2977.92;0.0019971495152912478
6/10/2026;2893.24;2893.24;2892.49;2892.49;-0.02860963893932177
6/09/2026;2903.59;2904.01;2903.31;2903.31;0.0035709210027366272
6/08/2026;2949.05;2949.05;2948.18;2948.25;0.015535182167305817
6/05/2026;2872.28;3018.91;2767.5;2918.14;-0.02637694511932027
6/04/2026;3015.13;3015.13;3013.96;3013.96;0.04853680752416359
6/03/2026;3008.16;3017.23;3008.16;3017.23;-0.0023143508318778645
6/02/2026;3159.82;3160.96;3159.82;3160.8;0.049186467788768604
6/01/2026;3361.51;3378.49;3322.28;3372.51;0.061875213833835443
05/29/2026;3460.83;3504.15;3414.75;3442.3;0.029118166910093796
05/28/2026;3474.95;3475.04;3474.89;3474.89;0.00407164572899554
05/27/2026;3499.06;3499.06;3498.79;3498.8;0.006914270571000343
05/26/2026;3568.67;3568.82;3568.65;3568.65;0.019698616363281664
05/22/2026;3638.25;3663.69;3613.34;3628.33;0.019309819452985266
05/21/2026;3650.96;3651.41;3650.93;3651.41;0.003487349899692393
05/20/2026;3658.28;3658.43;3657.98;3657.98;0.002002944888166485
05/19/2026;3608.54;3608.61;3608.54;3608.58;-0.013689833192064077
05/18/2026;3644.31;3644.31;3643.02;3643.02;0.009863788722421118
05/15/2026;3740.99;3870.15;3721.39;3793.44;0.026183235150858193
05/14/2026;3861.16;3861.16;3860.15;3860.5;0.0316173741845518
05/13/2026;3768.21;3768.25;3767.99;3768.25;-0.024367568819728683
5/12/2026;3822.5;3823.02;3822.5;3823.02;0.014304571175884464
5/11/2026;3878.29;3878.29;3877.89;3877.89;0.014489676018286948
5/08/2026;3814.98;3816.43;3750.74;3773.86;-0.016458912580646804
5/07/2026;3784.35;3784.35;3784.34;3784.34;-0.00806128063187336
5/06/2026;3846.51;3847.61;3846.49;3847.61;0.016292102052646924
5/05/2026;3831.8;3833.06;3831.48;3831.48;-0.0038315769997390218
5/04/2026;3783.37;3783.57;3783.37;3783.57;-0.012719519837460651
5/01/2026;3714.03;3745.89;3630.59;3719.33;-0.018497606399976947
04/30/2026;3636.46;3636.46;3636.26;3636.26;-0.021106859477870495
04/29/2026;3607.91;3607.91;3607.55;3607.55;-0.007882023642818132
04/28/2026;3637.08;3637.28;3637.08;3637.28;0.008052504591985024
04/27/2026;3677.85;3678.53;3677.85;3678.53;0.011147180402607204
04/24/2026;3705.51;3738.72;3694.35;3738.72;0.007492558780548778
04/23/2026;3738.22;3738.85;3738.22;3738.85;0.008788661207388722
04/22/2026;3748.29;3748.29;3741.86;3741.86;0.002690173678543766
04/21/2026;3657.1;3657.4;3657.1;3657.25;-0.024629252371163993
04/20/2026;3638.98;3638.98;3637.5;3637.5;-0.004967061012007616
04/17/2026;3731.77;3776.57;3592.17;3709.37;0.025179229333143253
04/16/2026;3619.06;3619.06;3617.46;3617.46;-0.03066832832298616
04/15/2026;3589.93;3589.93;3589.31;3589.31;-0.008081619906843099
