Métrica,Valor
Retorno promedio diario,-0.00019202613547144817
Retorno acumulado,-0.21385085114832048
Retorno anualizado,-0.04839058613880494
Desviación estándar de retornos diarios,0.03488403367931146
Volatilidad anualizada,0.5537668670535578
Varianza de retornos diarios,0.0012168958057393363
Asimetría de retornos diarios,0.5447734883974653
Curtosis de retornos diarios,6.147249625820802
