Métrica,Valor
Retorno promedio diario,0.000204185678063078
Retorno acumulado,"Ticker
XBI    0.291288
dtype: float64"
Retorno anualizado,0.05145479087189565
Desviación estándar de retornos diarios,0.020387981690849436
Volatilidad anualizada,0.3236491757311546
Varianza de retornos diarios,0.0004156697974264118
Asimetría de retornos diarios,-0.07870794043673861
Curtosis de retornos diarios,0.7977902695225008
