Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
19/09/2021;4.726.021.875;483.283.671.875;469.198.046.875;4.826.885.546.875;26967722648;-0.021314594702563614;1274500471533809.2;14.085.625;1274500471533809.2
20/09/2021;4.284.380.078.125;4.732.819.921.875;425.989.140.625;4.726.140.625;43909845642;-0.09810793836995628;1881264679021286.5;472.928.515.625;1881264679021286.5
21/09/2021;4.069.367.578.125;43.607.609.375;39.787.609.375;43.012.234.375;48701090088;-0.051488267863326775;1981826370234520.0;3820.0;1981826370234520.0
22/09/2021;435.745.078.125;4.397.862.109.375;406.256.328.125;40.677.953.125;38139709246;0.06839960199678301;1661919058506305.5;335.298.828.125;1661919058506305.5
23/09/2021;4.489.509.765.625;4.494.217.578.125;4.310.933.984.375;43.560.296.875;34244064430;0.02985630902322461;1537390616731767.0;18.328.359.375;1537390616731767.0
24/09/2021;42839.75;450.804.921.875;4.093.655.859.375;4.489.430.078.125;42839345714;-0.04686219528987527;1835226860551331.5;414.393.359.375;1835226860551331.5
25/09/2021;4.271.659.375;429.962.578.125;41.759.921.875;42.840.890.625;31604717236;-0.002878952738409655;1350045866753835.0;12.363.359.375;1350045866753835.0
26/09/2021;432.085.390.625;4.391.930.078.125;408.484.609.375;4.272.162.890.625;30661222077;0.011450682044497961;1324826611818042.0;307.083.984.375;1324826611818042.0
27/09/2021;4.223.573.046.875;4.431.324.609.375;421.906.328.125;4.323.418.359.375;30980029059;-0.022771582829569807;1308464157249966.8;212.261.328.125;1308464157249966.8
28/09/2021;4.103.454.296.875;4.277.514.453.125;409.316.640.625;422.008.984.375;30214940550;-0.028852332947741827;1239856276297201.8;184.348.046.875;1239856276297201.8
29/09/2021;4.156.436.328.125;425.452.578.125;4.082.966.796.875;41.064.984.375;30602359905;0.012828924814572349;1271967604354979.2;171.558.984.375;1271967604354979.2
30/09/2021;4.379.089.453.125;440.926.015.625;4.144.458.203.125;4.155.126.953.125;31141681925;0.05218276011816411;1363722108703409.5;264.801.953.125;1363722108703409.5
1/10/2021;4.811.694.140.625;4.843.601.171.875;433.200.234.375;438.167.421.875;42850641582;0.09420841893127979;2061841810221313.8;511.598.828.125;2061841810221313.8
2/10/2021;4.771.148.828.125;482.820.625;4.746.549.609.375;4.813.746.875;30614346492;-0.008462113921141138;1460656033891185.0;81.656.640.625;1460656033891185.0
3/10/2021;48.199.953.125;4.913.069.140.625;471.572.890.625;4.768.002.734.375;26638115879;0.010185835179136425;1283955936706118.2;197.340.234.375;1283955936706118.2
4/10/2021;4.911.290.234.375;4.945.677.734.375;4.704.500.390.625;4.820.890.625;33383173002;0.018763728593427256;1639544515571737.5;24.117.734.375;1639544515571737.5
5/10/2021;515.148.125;51.839.984.375;4.907.283.984.375;491.749.609.375;35873904236;0.047747610534684515;1848037450360495.8;276.714.453.125;1848037450360495.8
6/10/2021;5.536.144.921.875;5.556.846.484.375;5.048.819.140.625;514.866.640.625;49034730168;0.07201410137731079;2714633724150840.5;50.802.734.375;2714633724150840.5
7/10/2021;53.805.984.375;55.338.625;5.352.546.875;55.338.625;36807860413;-0.028498794333346032;1980483162259059.0;181.315.625;1980483162259059.0
8/10/2021;5.396.784.765.625;5.592.298.046.875;536.880.546.875;5.380.214.453.125;34800873924;0.0030037607441677503;1878128262234795.2;223.492.578.125;1878128262234795.2
9/10/2021;5.496.822.265.625;553.979.453.125;5.373.514.453.125;5.392.978.125;32491211414;0.01836679291081593;1785984143376043.5;166.280.078.125;1785984143376043.5
