Métrica,Valor
Retorno promedio diario,0.0002535891004932337
Retorno acumulado,"Ticker
BTC-USD    0.588113
dtype: float64"
Retorno anualizado,0.0925600216800303
Desviación estándar de retornos diarios,0.027320553892330516
Volatilidad anualizada,0.5219584492266254
Varianza de retornos diarios,0.0007464126649837362
Asimetría de retornos diarios,-0.2072488291453897
Curtosis de retornos diarios,4.326199935711829
