Métrica,Valor
Retorno promedio diario,0.0004270414235067705
Retorno acumulado,"Ticker
^GSPC    0.706861
dtype: float64"
Retorno anualizado,0.10761443872370617
Desviación estándar de retornos diarios,0.010730812054987368
Volatilidad anualizada,0.17034636037962325
Varianza de retornos diarios,0.00011515032735946222
Asimetría de retornos diarios,0.02410907383245874
Curtosis de retornos diarios,6.309548773386694
